champion_name,tier_number,role,winrate,pickrate
Ahri,1,MID,52.49%,14.70%
Jinx,1,ADC,51.86%,15.62%
Kha'Zix,1,JUNGLE,51.58%,11.79%
Nami,1,SUPPORT,52.01%,15.29%
Ornn,1,TOP,52.60%,5.87%
Caitlyn,2,ADC,50.56%,16.66%
Kayle,2,TOP,52.95%,3.87%
Thresh,2,SUPPORT,51.38%,13.69%
Xin Zhao,2,JUNGLE,51.52%,6.77%
Yasuo,2,MID,50.35%,9.00%
Ashe,3,ADC,51.98%,7.41%
Briar,3,JUNGLE,51.96%,4.85%
Leona,3,SUPPORT,51.87%,7.52%
Malzahar,3,MID,51.42%,6.18%
Singed,3,TOP,53.38%,3.01%
Braum,4,SUPPORT,51.68%,7.46%
Ekko,4,JUNGLE,51.58%,5.66%
Jhin,4,ADC,50.63%,14.28%
Malphite,4,TOP,51.48%,6.08%
Xerath,4,MID,51.96%,4.75%
Graves,5,JUNGLE,50.76%,8.70%
Miss Fortune,5,ADC,51.56%,8.06%
Sett,5,TOP,51.47%,5.50%
Sona,5,SUPPORT,52.35%,5.22%
Twisted Fate,5,MID,51.53%,5.38%
Katarina,6,MID,50.77%,7.08%
Milio,6,SUPPORT,51.58%,7.41%
Rammus,6,JUNGLE,53.44%,1.68%
Shen,6,TOP,52.11%,3.89%
Smolder,6,ADC,51.37%,8.56%
Karma,7,SUPPORT,50.45%,10.32%
Rek'Sai,7,JUNGLE,52.67%,2.48%
Viktor,7,MID,50.92%,6.61%
Xayah,7,ADC,51.86%,5.98%
Zaahen,7,TOP,50.94%,5.92%
Diana,8,MID,51.96%,3.65%
Seraphine,8,SUPPORT,51.81%,4.66%
Sion,8,TOP,51.46%,4.76%
Veigar,8,ADC,53.90%,1.55%
Zaahen,8,JUNGLE,51.19%,5.37%
Kai'Sa,9,ADC,49.69%,18.19%
Mordekaiser,9,TOP,51.07%,5.49%
Shaco,9,JUNGLE,51.59%,4.21%
Soraka,9,SUPPORT,51.66%,4.96%
Veigar,9,MID,51.80%,4.33%
Aatrox,10,TOP,50.51%,7.16%
Fizz,10,MID,51.80%,4.08%
Lee Sin,10,JUNGLE,50.02%,10.77%
Nautilus,10,SUPPORT,50.22%,10.91%
Swain,10,ADC,53.07%,2.03%
Fiddlesticks,11,JUNGLE,52.37%,2.77%
Lulu,11,SUPPORT,50.16%,10.58%
Urgot,11,TOP,52.40%,2.77%
Vayne,11,ADC,51.26%,5.98%
Zed,11,MID,50.35%,6.69%
Dr. Mundo,12,JUNGLE,51.67%,3.81%
Gangplank,12,TOP,51.12%,5.19%
Janna,12,SUPPORT,51.65%,3.94%
Sivir,12,ADC,51.17%,6.47%
Vex,12,MID,52.45%,2.99%
Akali,13,MID,50.23%,6.48%
Bard,13,SUPPORT,50.56%,6.71%
Garen,13,TOP,51.01%,5.41%
Kog'Maw,13,ADC,52.99%,2.03%
Aurelion Sol,14,MID,52.02%,3.21%
Jarvan IV,14,JUNGLE,50.73%,5.90%
Nasus,14,TOP,51.18%,4.48%
Pyke,14,SUPPORT,50.57%,5.73%
Samira,14,ADC,51.18%,5.81%
Darius,15,TOP,50.34%,6.13%
Rakan,15,SUPPORT,51.17%,4.41%
Twitch,15,ADC,50.92%,6.08%
Viego,15,JUNGLE,49.29%,12.14%
Zoe,15,MID,51.71%,3.59%
Anivia,16,MID,51.61%,3.35%
Brand,16,ADC,54.10%,0.88%
Diana,16,JUNGLE,50.77%,4.94%
Jax,16,TOP,50.03%,6.42%
Zilean,16,SUPPORT,51.75%,3.01%
Irelia,17,TOP,50.65%,4.26%
Lux,17,MID,51.34%,3.64%
Master Yi,17,JUNGLE,50.80%,4.71%
Morgana,17,SUPPORT,50.84%,4.46%
Nilah,17,ADC,52.90%,1.68%
Blitzcrank,18,SUPPORT,50.60%,5.34%
Ekko,18,MID,51.25%,3.54%
Evelynn,18,JUNGLE,51.98%,2.37%
Ezreal,18,ADC,48.69%,17.99%
Renekton,18,TOP,50.16%,5.87%
Kled,19,TOP,52.40%,1.79%
Lucian,19,ADC,49.83%,8.30%
Naafiri,19,MID,51.40%,2.82%
Senna,19,SUPPORT,50.60%,5.46%
Vi,19,JUNGLE,50.40%,6.02%
Annie,20,MID,52.33%,2.10%
Brand,20,SUPPORT,51.35%,2.60%
Camille,20,TOP,51.35%,2.92%
Elise,20,JUNGLE,51.76%,2.46%
Ziggs,20,ADC,52.18%,1.58%
Dr. Mundo,21,TOP,50.41%,4.08%
Hwei,21,MID,51.11%,3.60%
Kayn,21,JUNGLE,50.51%,4.92%
Vel'Koz,21,SUPPORT,51.26%,2.74%
Yasuo,21,ADC,52.30%,1.10%
Gnar,22,TOP,50.51%,4.15%
Maokai,22,SUPPORT,51.45%,2.36%
Shen,22,JUNGLE,53.45%,0.80%
Sylas,22,MID,49.33%,6.71%
Vel'Koz,22,ADC,53.99%,0.51%
Akshan,23,MID,51.38%,2.92%
Nocturne,23,JUNGLE,50.92%,3.71%
Tristana,23,ADC,50.65%,3.79%
Yone,23,TOP,49.85%,5.13%
Zyra,23,SUPPORT,50.86%,2.74%
Draven,24,ADC,50.46%,3.58%
Lux,24,SUPPORT,49.78%,4.91%
Naafiri,24,JUNGLE,50.68%,3.73%
Syndra,24,MID,49.98%,5.15%
Vayne,24,TOP,50.96%,2.75%
Alistar,25,SUPPORT,49.71%,4.77%
Ivern,25,JUNGLE,52.71%,1.14%
Lissandra,25,MID,50.84%,3.19%
Senna,25,ADC,51.71%,1.45%
Yorick,25,TOP,50.81%,3.22%
Aurelion Sol,26,ADC,52.78%,0.74%
LeBlanc,26,MID,49.95%,4.15%
Rell,26,SUPPORT,50.49%,2.84%
Teemo,26,TOP,51.29%,2.45%
Warwick,26,JUNGLE,51.63%,2.05%
Amumu,27,JUNGLE,51.46%,2.18%
Fiora,27,TOP,50.40%,3.74%
Neeko,27,SUPPORT,50.31%,3.09%
Vel'Koz,27,MID,52.62%,1.23%
Yunara,27,ADC,48.46%,8.61%
Jax,28,JUNGLE,50.85%,2.48%
Olaf,28,TOP,51.40%,2.14%
Taric,28,SUPPORT,51.61%,1.26%
Varus,28,ADC,48.77%,5.01%
Vladimir,28,MID,50.72%,2.84%
Aphelios,29,ADC,48.09%,7.42%
Kennen,29,TOP,50.88%,2.68%
Talon,29,MID,51.36%,1.95%
Volibear,29,JUNGLE,51.07%,2.42%
Xerath,29,SUPPORT,49.92%,2.73%
Corki,30,ADC,49.38%,3.62%
Galio,30,MID,49.67%,4.08%
Poppy,30,SUPPORT,50.29%,1.71%
Riven,30,TOP,50.22%,3.74%
Talon,30,JUNGLE,50.39%,3.58%
Illaoi,31,TOP,51.13%,2.27%
Kassadin,31,MID,49.41%,4.20%
Nasus,31,JUNGLE,52.62%,0.90%
Seraphine,31,ADC,52.53%,0.50%
Tahm Kench,31,SUPPORT,49.60%,2.00%
Cho'Gath,32,TOP,50.91%,2.50%
Irelia,32,MID,50.17%,2.59%
Renata Glasc,32,SUPPORT,50.48%,1.08%
Zeri,32,ADC,49.66%,2.10%
Zyra,32,JUNGLE,52.14%,1.22%
Elise,33,SUPPORT,50.62%,0.92%
Mel,33,ADC,49.49%,0.90%
Qiyana,33,MID,50.40%,2.49%
Wukong,33,JUNGLE,50.84%,2.68%
Yasuo,33,TOP,49.95%,3.19%
Aurora,34,MID,49.73%,3.30%
Hecarim,34,JUNGLE,50.12%,3.69%
Kalista,34,ADC,48.11%,0.87%
Pantheon,34,SUPPORT,48.72%,2.69%
Pantheon,34,TOP,51.38%,1.82%
Ambessa,35,TOP,49.34%,4.62%
Sylas,35,JUNGLE,49.66%,3.96%
Yone,35,MID,48.33%,5.63%
Yuumi,35,SUPPORT,47.72%,4.85%
Akali,36,TOP,49.91%,2.74%
Bel'Veth,36,JUNGLE,51.41%,1.60%
Shaco,36,SUPPORT,49.90%,1.09%
Sion,36,MID,52.46%,0.87%
Fiddlesticks,37,SUPPORT,50.88%,0.68%
Gwen,37,TOP,49.98%,3.18%
Pantheon,37,MID,52.31%,0.80%
Sejuani,37,JUNGLE,51.02%,1.81%
Brand,38,MID,52.00%,0.91%
Heimerdinger,38,TOP,52.23%,1.04%
Kindred,38,JUNGLE,50.68%,2.12%
Swain,38,SUPPORT,48.34%,2.70%
Annie,39,SUPPORT,50.33%,0.56%
Orianna,39,MID,48.10%,5.08%
Poppy,39,TOP,51.72%,1.22%
Taliyah,39,JUNGLE,51.79%,0.99%
Hwei,40,SUPPORT,49.93%,0.51%
Malphite,40,MID,51.24%,0.89%
Varus,40,TOP,50.30%,2.04%
Zac,40,JUNGLE,49.91%,2.92%
Aatrox,41,JUNGLE,51.51%,0.97%
Galio,41,SUPPORT,49.77%,0.50%
Swain,41,MID,51.29%,0.99%
Volibear,41,TOP,49.66%,3.11%
Jayce,42,TOP,49.23%,3.61%
Kog'Maw,42,MID,51.58%,0.91%
Rengar,42,JUNGLE,49.31%,3.72%
Zoe,42,SUPPORT,48.85%,0.61%
LeBlanc,43,SUPPORT,48.40%,0.59%
Lillia,43,JUNGLE,49.88%,2.69%
Taliyah,43,MID,49.43%,2.25%
Warwick,43,TOP,51.47%,1.12%
Anivia,44,TOP,52.43%,0.60%
Kayle,44,MID,51.38%,0.78%
Mel,44,SUPPORT,44.76%,1.72%
Udyr,44,JUNGLE,50.55%,1.72%
Ashe,45,SUPPORT,45.47%,0.70%
Mel,45,MID,47.59%,3.74%
Rumble,45,TOP,49.37%,2.77%
Trundle,45,JUNGLE,51.31%,0.97%
Cho'Gath,46,MID,51.60%,0.67%
Darius,46,JUNGLE,49.79%,1.64%
Vladimir,46,TOP,50.38%,1.52%
Nidalee,47,JUNGLE,49.58%,1.94%
Quinn,47,TOP,51.39%,0.93%
Ryze,47,MID,47.20%,4.42%
Gragas,48,TOP,49.78%,2.04%
Nasus,48,MID,51.71%,0.53%
Teemo,48,JUNGLE,50.22%,1.22%
Cassiopeia,49,MID,50.07%,1.16%
Karthus,49,JUNGLE,50.00%,1.37%
Tahm Kench,49,TOP,49.52%,1.92%
Tryndamere,50,TOP,49.25%,2.10%
Zed,50,JUNGLE,48.78%,2.05%
Ziggs,50,MID,49.98%,0.80%
Cassiopeia,51,TOP,51.38%,0.59%
Gwen,51,JUNGLE,49.34%,1.79%
Jayce,51,MID,49.68%,0.67%
Aurora,52,TOP,50.74%,0.79%
Azir,52,MID,45.64%,2.32%
Fizz,52,JUNGLE,48.02%,3.56%
Brand,53,JUNGLE,49.90%,1.19%
Fiddlesticks,53,TOP,51.46%,0.53%
Smolder,53,MID,46.19%,1.00%
K'Sante,54,TOP,47.41%,4.06%
Maokai,54,JUNGLE,50.00%,0.87%
Ambessa,55,JUNGLE,47.69%,3.07%
Trundle,55,TOP,49.51%,1.26%
Malphite,56,JUNGLE,47.92%,1.93%
Zac,56,TOP,50.72%,0.61%
Shyvana,57,JUNGLE,49.59%,0.96%
Sylas,57,TOP,49.49%,0.98%
Gragas,58,JUNGLE,50.13%,0.56%
Swain,58,TOP,50.17%,0.75%
Jayce,59,JUNGLE,47.60%,2.04%
Wukong,59,TOP,50.06%,0.79%
Maokai,60,TOP,50.47%,0.61%
Pantheon,60,JUNGLE,48.45%,1.03%
Qiyana,61,JUNGLE,46.57%,1.71%
Ryze,61,TOP,49.07%,1.13%
Udyr,62,TOP,48.29%,0.73%
Master Yi,63,TOP,46.77%,0.80%
